Address,Amount (DUST)
0xA51B7D35376809156528108E6c2e2f200A24fd42,1441.022846
0xCf2b7c6Bc98bfE0D6138A25a3b6162B51F75e05d,1757.468533
0xe264886FEb92E9c6A92fA196DFDC09D330B66c17,35.78624531
0x7C88755a065296628d2A09549eedcC31e8C54E40,148.3699519
0xDFaB977372A039e78839687b8c359465f0f17532,31.77158034
0x14aD52d999a92156e599D5E58E97e8702cBDE8cD,5.675823397
0x9bEa8d579a72785Fd79d5356864ec002f02281A9,7.596595441
0x59B9FaC77b64Dcc0006207a2A41d90D96b3Bc301,73.97802609
0x4f2A6CC8Cf80953aE4e655b1e23728407f866976,30.74076465
0xB2F456886367c8e50566377ec6d9293D4Da5bb81,9.143343454
0x8806D2eD87398BEE00Bb044c882406ba8ead0d5A,11.66162534
0xdF627F524A24212aCb573e8b1AE5f47E6Ab83f69,6.977295738
0xAEc2e770042682BD086e27A87A1eD2D75A5c8d15,6.87618436
0x4F7Ea001bbc38E9A9426c2a4125B40A3DAD8cF62,16.65448156
0x7d62667CA6636f5c4811114D8fDC0cb841DFd003,19.58718749
0x15c2374f1139637c377C5Fea11DfCc0d5C06566A,6.162530377
0x098915E7F9a03d9d452a642f33a650430aE18c79,2.467634367
0x80fDa9Ca3E17Df907dDcAD034F452c3F844FF535,2.492506795
0xc1B3CFa09ab8b37688E284C4Fb03543f623f4923,704.1880037
0x487A2419585Ece48e91F7943b196eC6c090C2855,8.437199601
0xa14AeA49fd40d0a92b1cAE8497D02B33a07Dd872,170.5085985
0x751747b1d099821784876B6Dfe7A15B81E064b93,4.131684363
0xA4Ebf6f14a18b60dB88734BC1d9EDC8944433F55,5.886736699
0xe626E8ca82603e3B44751f8562B5ED126d345140,2.592986321
0x2F980B046509d8Ff974FF34333A32c305429b01E,2652.062569
0x7EB11085554814251F352b4bC4630232131Fa5a3,20.65842181
0xcD0dd8697c34E5D49E5843Ba36c3F52a30eF22b8,19.83208494
0x703e93caDe9c1d2dEd6aCcDabb618B241F5D782C,21.48475869
0x034fC5B82f6E8E0FA3DDe235973531e1a6D21143,20.24525338
0x101cCA680143112415D104282C67E41b08d06657,21.07159025
0x4F222FCc7B45634559E9a40D1bDc1BafF6806786,20.65842181
0xb11C5bb99e2a0B948346BC8249A09A348ab03171,20.65842181
0xcEd325C4FC3Ede6FDf767a975c99EC3d0689a559,20.65842181
0xb10302Deb61EEdCc01d017659CfACeB54FB4a661,14.46089527
0x708659B97c8c4b782fa9633bCfe36735108E6F63,20.65842181
